(451,58)
(416,145)
(384,161)
(357,165)
(336,176)
(305,193)
(288,206)
(269,226)
(252,254)
(245,286)
(240,319)
(236,350)
(239,392)
(244,436)
(252,477)
(258,517)
(260,549)
(275,597)
(284,640)
(313,690)
(363,741)
(398,759)
(451,785)
(480,793)
(513,799)
(547,797)
(581,792)
(610,792)
(639,787)
(667,777)
(701,764)
(728,749)
(756,734)
(777,709)
(794,682)
(813,651)
(828,615)
(833,590)
(842,546)
(845,507)
(849,455)
(846,414)
(839,369)
(828,335)
(812,300)
(793,277)
(768,246)
(748,225)
(723,204)
(694,180)
(662,157)
(638,143)
(615,134)
(554,127)
(521,122)
