(441,39)
(445,110)
(431,121)
(439,219)
(381,145)
(358,164)
(239,90)
(320,198)
(308,221)
(385,299)
(290,265)
(284,295)
(135,317)
(285,362)
(288,380)
(382,392)
(309,452)
(324,484)
(227,563)
(339,520)
(356,533)
(451,471)
(401,566)
(419,575)
(412,706)
(485,597)
(516,605)
(542,508)
(562,610)
(590,604)
(667,725)
(654,584)
(670,572)
(639,480)
(715,528)
(728,509)
(902,580)
(764,455)
(770,427)
(661,389)
(778,369)
(778,342)
(904,304)
(772,291)
(766,269)
(666,270)
(741,210)
(732,193)
(811,92)
(692,155)
(654,136)
(588,232)
(611,122)
(588,121)
(584,26)
(553,115)
(517,109)
(508,218)
(487,109)
(470,108)
